,Grag2021_progan,Grag2021_latent
progan_lsun,1.0,0.016
stylegan2_ffhq_256x256,1.0,0.0
stylegan2_lsundog_256x256,0.9161676646706587,0.0
stylegan2_afhqv2_512x512,0.9369369369369369,0.0
stylegan2_ffhq_1024x1024,1.0,0.0
stylegan3_r_ffhqu_256x256,0.7844311377245509,0.0
stylegan3_t_ffhqu_256x256,0.9940119760479041,0.0
stylegan3_r_afhqv2_512x512,0.6265060240963856,0.0
stylegan3_r_ffhqu_1024x1024,0.8682634730538922,0.0
stylegan3_t_afhqv2_512x512,0.8554216867469879,0.0
stylegan3_t_ffhqu_1024x1024,0.8263473053892215,0.0
biggan_256,0.908,0.042
biggan_512,0.92,0.036
eg3d,0.99,0.0
taming-transformers_class2image_ImageNet,0.304,0.622
taming-transformers_noise2image_FFHQ,0.66,0.966
taming-transformers_segm2image_valid,0.266,0.43
dalle-mini_valid,0.41,0.676
dalle_2,0.045,0.002
glide_text2img_valid,0.174,0.225
latent-diffusion_class2image_ImageNet,0.161,1.0
latent-diffusion_noise2image_FFHQ,0.374,1.0
latent-diffusion_noise2image_LSUNbedrooms,0.004,1.0
latent-diffusion_noise2image_LSUNchurches,0.1,1.0
latent-diffusion_text2img_valid,0.129,1.0
stable_diffusion_256,0.246,1.0
stable_diffusion_512_50steps,0.0085,0.96
stable_diffusion_512_100steps,0.008,0.9615
stable_diffusion_512_200steps,0.007,0.973
guided-diffusion_class2image_ImageNet,0.053,0.089
guided-diffusion_noise2image_LSUNbedrooms,0.0,0.3625
guided-diffusion_noise2image_LSUNcats,0.0,0.0
guided-diffusion_noise2image_LSUNhorses,0.0,0.0
real_coco_valid,0.997,1.0
real_imagenet_val,0.9975,0.998
real_ucid,0.999,1.0
ffhq,1.0,1.0
celebA,0.991495747873937,0.6288144072036018
stargan,0.9984992496248124,0.2861430715357679
gaugan,0.9018,0.0116
whichfaceisreal,0.0,1.0
deepfake,0.08080059303187546,0.1586360266864344
